id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,–,–,–,–,–,–
02,1,8,2.8,23,15.5,4387
03,39,107,20.1,264,226.7,53989
04,3,15,3.9,17,24.4,7659
05,4,5,6.2,7,8.4,1928
06,9,12,7.5,17,24.4,8300
07,7,30,12.3,59,54.3,12190
08,1,2,–,4,2.4,595
09,37,134,13.1,544,272.9,56939
10,17,13,5.9,20,27.2,7118
11,3,2,0.5,4,3.8,1011
12,11,21,8.4,29,34.8,9147
