district_id,buildings,volume,usage_area,apartments,apartments_usage_area,estimated_costs
01,7,29,6.9,81,57,20065
02,2,13,0.9,34,23.6,13137
03,6,17,4.7,37,36.5,9941
04,3,15,9.3,23,20.3,9252
05,10,10,6.8,14,19.5,4127
06,8,33,25.4,48,49.1,25214
07,2,10,6.9,21,15.8,5216
08,3,3,2.3,6,4.5,946
09,36,159,100.6,605,383.3,87442
10,11,7,1.9,12,15.5,4460
11,2,33,6.7,99,55,10584
12,7,7,4.3,7,11.4,3304
