id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,4,3,1.8,4,4.8,1823
02,–,–,–,–,–,–
03,6,52,8.1,110,85.1,23800
04,2,4,1.1,3,6.3,5244
05,4,11,6,33,24.6,4865
06,6,8,2.6,17,14.5,4036
07,1,2,1.1,1,2.3,779
08,9,9,6.3,29,22.7,6649
09,29,137,21.2,806,296.1,86038
10,15,83,20.7,331,178.8,24967
11,8,5,0.4,8,10.7,3160
12,–,–,–,–,–,–
