id,measures,usage_area,apartments,living_area,estimated_costs
01,18,97.1,1167,308.2,124295
02,6,-6.6,17,22.1,7757
03,27,24.4,142,117.8,40893
04,24,543.4,94,89.9,189760
05,16,32.0,99,43.3,16391
06,18,-0.7,13,20.8,7643
07,15,33.5,65,59.5,11038
08,41,10.5,47,58.2,13750
09,23,186.2,50,46.0,75020
10,28,31.9,32,32.3,17775
11,11,86.7,37,35.4,34691
12,18,-10.4,90,46.1,6283
