id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,2,7,2.2,16,15.1,4514
02,–,–,–,–,–,–
03,7,8,1.9,23,17.1,4888
04,2,5,2.1,9,9.1,3746
05,12,34,11,84,73.4,17035
06,3,6,2.8,18,12.5,3973
07,–,–,–,–,–,–
08,–,–,–,–,–,–
09,20,56,11.3,212,119.3,27125
10,25,36,14,51,61.1,19492
11,29,151,13.7,500,316.8,89580
12,9,9,3.5,14,16.5,4443
