id,measures,usage_area,apartments,living_area,estimated_costs
01,12,346.8,95,59.7,117563
02,7,"– 4,9",18,13.8,3893
03,24,16.5,101,65.7,29540
04,17,"– 17,0",55,59.8,28872
05,22,117.8,470,349.9,81243
06,16,11,14,15.7,8647
07,9,91,4,3.6,25965
08,74,114.3,552,381.8,122561
09,16,19.7,57,45.4,14137
10,12,102,8,11.0,47530
11,11,171.3,205,146.4,64397
12,24,222.6,152,119.9,96671
