id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,1,8,5.3,28,17.2,3165
02,–,–,–,–,–,–
03,13,27,10.7,123,59.4,10791
04,23,168,47.8,400,311.8,92473
05,–,–,–,–,–,–
06,3,10,2.9,12,17.3,6135
07,1,1,0.7,1,1.4,450
08,–,–,–,–,–,–
09,14,36,20.8,123,72.9,21156
10,33,61,20.5,165,119.8,28243
11,1,7,–,13,16.4,3158
12,7,15,6.5,20,31.6,9300
