id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,4,28,–,77,51.1,17726
02,3,19,1.3,44,41.2,10977
03,22,31,3.1,72,63.1,13814
04,5,47,17.1,148,90,26353
05,13,73,4.4,206,187.3,33224
06,1,0,0.7,1,1,200
07,–,–,–,–,–,–
08,–,–,–,–,–,–
09,11,16,3.3,31,29.7,7689
10,6,6,1,16,18.1,3128
11,3,10,2.4,38,21.8,6823
,5,5,1.8,6,9.1,2566
