id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,–,–,–,–,–,–
02,1,1,0.5,3,1.7,1072
03,9,14,2.1,37,27.4,9564
04,4,37,7.4,124,74,16155
05,–,–,–,–,–,–
06,4,23,7.4,40,45.9,10265
07,2,12,6.4,75,22.1,13926
08,2,3,1.6,10,6.8,1603
09,10,61,25.2,136,128.4,32215
10,9,6,4.3,9,10.7,3092
11,18,100,20.1,427,195.4,47068
,7,28,6.1,66,58,19197
