id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,2,19,4.3,54,40.9,7189
02,6,45,–,110,96.2,25605
03,17,47,25.9,91,83.3,22921
04,3,25,3.5,87,52.3,15971
05,19,16,8.7,24,30.2,7304
06,11,27,12,57,50.1,13924
07,15,40,25.4,82,58.5,14940
08,11,6,4.9,12,16.0,3842
09,24,21,6.6,40,45.1,10174
10,26,131,37.2,415,197.4,63096
11,4,14,3.2,47,27.9,6118
,11,13,7.1,16,19.4,7555
