id,measures,usage_area,apartments,living_area,estimated_costs
01,9,4.3,-3,13.8,13015
02,11,393.8,148,80.5,151187
03,31,43.4,125,77.3,42746
04,19,236.2,68,101.4,104226
05,9,1.1,56,42.8,12418
06,11,24.6,60,41.9,17967
07,38,97.1,154,114.0,70921
08,28,15.8,186,124.4,32858
09,61,240.4,467,285.8,99232
10,51,36.5,169,154.6,55084
11,47,133.3,616,423.8,116328
12,17,79.0,123,67.0,59529
