id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,4,28,13.9,143,44.5,14198
02,6,103,200.5,328,208.5,42472
03,14,33,13.4,119,74.3,19863
04,4,28,14.8,55,46.1,17909
05,6,11,9.7,25,18.7,5669
06,3,10,6.3,20,18.1,3817
07,5,4,2.4,5,7.1,1539
08,3,6,1.2,11,11.3,2618
09,36,28,15.4,57,54.3,8978
10,23,98,27.6,297,214.7,37253
11,6,19,3.1,58,36.9,9140
,13,21,14.1,38,39.3,10330
