id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,4,15,9.5,49,32.6,3000
02,–,–,–,–,–,–
03,14,30,4.6,69,59.4,11346
04,18,138,13.1,294,247.8,79358
05,2,9,0.1,29,18.8,4638
06,1,2,1.8,1,3.4,941
07,2,30,4.5,88,59.2,20387
08,2,8,1.4,22,15.8,4225
09,15,28,14.9,76,47,10583
10,7,34,22,164,69.1,11443
11,3,21,2.9,87,47.8,15360
12,3,3,2.3,4,4.8,1203
